iter	Logloss
0	0.6542026905
1	0.6222836746
2	0.5947914848
3	0.5718554061
4	0.5521481929
5	0.5362966259
6	0.5221227626
7	0.5099101661
8	0.4994188892
9	0.4892805357
10	0.4806295109
11	0.4727351022
12	0.4657933418
13	0.4596860072
14	0.4542998514
15	0.4499487853
16	0.4456151778
17	0.4417681454
18	0.4389528684
19	0.4364272309
20	0.4330895904
21	0.4301727165
22	0.4275447823
23	0.4256194088
24	0.4235473112
25	0.4217375048
26	0.4201148629
27	0.4185585975
28	0.4170626388
29	0.4156945372
30	0.4144863933
31	0.4133889055
32	0.4121817109
33	0.4110945289
34	0.410113653
35	0.4092750452
36	0.4088183064
37	0.4080908794
38	0.4074400943
39	0.4067773468
40	0.4061878858
41	0.4055103128
42	0.4050085065
43	0.4044784176
44	0.4040078962
45	0.403584119
46	0.4031531579
47	0.4026371351
48	0.4022333029
49	0.4020467846
50	0.4017306858
51	0.4013755138
52	0.4009639217
53	0.4004172879
54	0.4000247271
55	0.3998981084
56	0.399620073
57	0.3993554729
58	0.3990763083
59	0.3986430887
60	0.3984112742
61	0.3982214681
62	0.3980450169
63	0.3978845808
64	0.397713608
65	0.397643818
66	0.3973016346
67	0.3970582649
68	0.3970546568
69	0.3967783535
70	0.396577196
71	0.3964416524
72	0.3962210689
73	0.3959905062
74	0.3959329614
75	0.3959328043
76	0.3956899407
77	0.3953219789
78	0.3952082718
79	0.395009119
80	0.3949096803
81	0.3948853369
82	0.3947058638
83	0.3945970234
84	0.394396044
85	0.3941535788
86	0.393977335
87	0.3939265966
88	0.3939081865
89	0.3936289384
90	0.3935471252
91	0.3933032793
92	0.3930931845
93	0.3929413046
94	0.3929146004
95	0.3927538776
96	0.3926582556
97	0.392605707
98	0.3923653322
99	0.3920699916
