iter	Passed	Remaining
0	34	3428
1	63	3133
2	97	3161
3	133	3215
4	175	3331
5	215	3371
6	249	3317
7	283	3254
8	318	3223
9	355	3203
10	392	3175
11	451	3309
12	501	3358
13	543	3340
14	578	3279
15	613	3220
16	648	3163
17	683	3112
18	722	3080
19	742	2971
20	783	2947
21	825	2928
22	871	2918
23	914	2895
24	956	2870
25	1007	2867
26	1059	2865
27	1108	2851
28	1158	2837
29	1220	2848
30	1310	2917
31	1363	2898
32	1409	2862
33	1451	2817
34	1508	2802
35	1550	2756
36	1588	2705
37	1630	2659
38	1678	2624
39	1734	2601
40	1797	2587
41	1845	2548
42	1913	2536
43	1964	2500
44	2005	2450
45	2050	2406
46	2095	2363
47	2137	2315
48	2172	2261
49	2201	2201
50	2248	2160
51	2293	2117
52	2333	2069
53	2377	2025
54	2423	1982
55	2451	1926
56	2492	1880
57	2531	1833
58	2573	1788
59	2618	1745
60	2659	1700
61	2700	1655
62	2737	1607
63	2771	1558
64	2821	1519
65	2841	1463
66	2879	1418
67	2916	1372
68	2946	1323
69	2985	1279
70	3022	1234
71	3062	1190
72	3102	1147
73	3144	1104
74	3168	1056
75	3190	1007
76	3224	963
77	3271	922
78	3315	881
79	3352	838
80	3392	795
81	3430	752
82	3467	710
83	3513	669
84	3549	626
85	3581	583
86	3614	540
87	3649	497
88	3684	455
89	3727	414
90	3773	373
91	3812	331
92	3853	290
93	3907	249
94	3944	207
95	4003	166
96	4065	125
97	4119	84
98	4167	42
99	4227	0
